year,currency,rate_to_ron
2020,JMD,0.0293
2020,JOD,5.99
2020,JPY,0.04
2020,KES,0.0388
2020,KHR,0.00104
2020,KRW,0.0036
2020,KWD,13.88
2020,KZT,0.01
2020,LAK,0.00046
2020,LBP,0.00056
2020,LKR,0.0227
2020,LYD,3.07
2020,MAD,0.447
2020,MDL,0.241
2020,MKD,0.0785
2020,MMK,0.0031
2020,MNT,0.00149
2020,MUR,0.106
2020,MXN,0.196
2020,MYR,1.01
2020,MZN,0.0615
2020,NGN,0.0103
2020,NOK,0.452
2020,NPR,0.0354
2020,NZD,2.817
2020,OMR,11.03
2020,PAB,4.244
2020,PEN,1.12
2020,PGK,1.22
2020,PHP,0.082
2020,PKR,0.0261
2020,PLN,1.08
2020,PYG,0.00062
2020,QAR,1.166
2020,RSD,0.0412
2020,RWF,0.0044
2020,SAR,1.132
2020,SEK,0.459
2020,SGD,3.09
2020,SOS,0.00735
2020,THB,0.133
2020,TND,1.53
2020,TRY,0.599
2020,TTD,0.628
2020,TWD,0.139
2020,TZS,0.00183
2020,UAH,0.154
2020,UGX,0.00115
2020,USD,4.244
2020,UYU,0.0998
2020,UZS,0.00041
2020,VND,0.000184
2020,XAF,0.00738
2020,XOF,0.00738
2020,ZAR,0.258
2020,ZMW,0.234
2021,AED,1.133
2021,AFN,0.0445
2021,ALL,0.0405
2021,AMD,0.0084
2021,AOA,0.0064
2021,ARS,0.0255
2021,AUD,3.124
2021,AZN,2.45
2021,BAM,2.516
2021,BDT,0.0486
2021,BGN,2.5158
2021,BHD,11.04
2021,BOB,0.602
2021,BRL,0.768
2021,BWP,0.373
2021,BYN,1.6
2021,CAD,3.322
2021,CHF,4.5616
2021,CLP,0.0048
2021,CNY,0.645
2021,COP,0.00105
2021,CRC,0.0067
2021,CUP,0.0047
2021,CZK,0.1918
2021,DKK,0.6613
2021,DOP,0.0735
2021,DZD,0.031
2021,EGP,0.231
2021,ETB,0.0105
2021,EUR,4.9204
2021,FJD,1.98
2021,GBP,5.7405
2021,GEL,1.27
2021,GHS,0.688
2021,GTQ,0.538
2021,HKD,0.534
2021,HNL,0.171
2021,HRK,0.653
2021,HUF,0.0137
2021,IDR,0.00029
2021,ILS,1.22
2021,INR,0.056
2021,IQD,0.00287
2021,ISK,0.03
2021,JMD,0.0273
2021,JOD,5.87
2021,JPY,0.0379
2021,KES,0.0352
2021,KHR,0.00102
2021,KRW,0.0036
2021,KWD,13.69
2021,KZT,0.0098
2021,LAK,0.00037
2021,LBP,0.00028
2021,LKR,0.021
2021,LYD,3.03
2021,MAD,0.451
2021,MDL,0.236
2021,MKD,0.08
2021,MMK,0.0023
2021,MNT,0.00146
2021,MUR,0.0995
2021,MXN,0.204
2021,MYR,0.99
2021,MZN,0.066
2021,NGN,0.01
2021,NOK,0.483
2021,NPR,0.0348
2021,NZD,2.934
2021,OMR,10.81
2021,PAB,4.1604
2021,PEN,1.08
2021,PGK,1.17
2021,PHP,0.081
2021,PKR,0.0208
2021,PLN,1.07
2021,PYG,0.0006
2021,QAR,1.143
2021,RSD,0.042
2021,RWF,0.00415
2021,SAR,1.109
2021,SEK,0.485
2021,SGD,3.092
2021,SOS,0.0072
2021,THB,0.126
2021,TND,1.54
2021,TRY,0.483
2021,TTD,0.615
2021,TWD,0.143
2021,TZS,0.0018
2021,UAH,0.113
2021,UGX,0.00117
2021,USD,4.1604
2021,UYU,0.096
2021,UZS,0.00039
2021,VND,0.000178
2021,XAF,0.0075
2021,XOF,0.0075
2021,ZAR,0.283
2021,ZMW,0.209
2022,AED,1.276
2022,AFN,0.054
2022,ALL,0.042
2022,AMD,0.0094
2022,AOA,0.011
2022,ARS,0.016
2022,AUD,3.242
2022,AZN,2.76
2022,BAM,2.522
2022,BDT,0.0476
2022,BGN,2.521
2022,BHD,12.42
2022,BOB,0.678
2022,BRL,0.908
2022,BWP,0.362
2022,BYN,1.81
2022,CAD,3.618
2022,CHF,4.894
2022,CLP,0.0053
2022,CNY,0.697
2022,COP,0.0012
2022,CRC,0.0073
2022,CUP,0.0047
2022,CZK,0.2008
2022,DKK,0.663
2022,DOP,0.086
2022,DZD,0.034
2022,EGP,0.155
2022,ETB,0.0088
2022,EUR,4.9313
2022,FJD,2.14
2022,GBP,5.703
2022,GEL,1.38
2022,GHS,0.51
2022,GTQ,0.607
2022,HKD,0.5988
2022,HNL,0.191
2022,HRK,0.654
2022,HUF,0.0126
2022,IDR,0.00031
2022,ILS,1.31
2022,INR,0.0592
2022,IQD,0.00359
2022,ISK,0.029
2022,JMD,0.0308
2022,JOD,6.61
2022,JPY,0.0362
2022,KES,0.0375
2022,KHR,0.00115
2022,KRW,0.0036
2022,KWD,15.4
2022,KZT,0.01
2022,LAK,0.00031
2022,LBP,0.00031
2022,LKR,0.0128
2022,LYD,3.42
2022,MAD,0.478
2022,MDL,0.264
2022,MKD,0.0801
2022,MMK,0.0025
2022,MNT,0.00145
2022,MUR,0.106
2022,MXN,0.234
2022,MYR,1.05
2022,MZN,0.074
2022,NGN,0.0103
2022,NOK,0.481
2022,NPR,0.0368
2022,NZD,2.949
2022,OMR,12.18
2022,PAB,4.6885
2022,PEN,1.21
2022,PGK,1.33
2022,PHP,0.086
2022,PKR,0.0205
2022,PLN,1.053
2022,PYG,0.00066
2022,QAR,1.287
2022,RSD,0.0422
2022,RWF,0.0045
2022,SAR,1.249
2022,SEK,0.467
2022,SGD,3.371
2022,SOS,0.00812
2022,THB,0.134
2022,TND,1.52
2022,TRY,0.281
2022,TTD,0.693
2022,TWD,0.151
2022,TZS,0.00201
2022,UAH,0.121
2022,UGX,0.00127
2022,USD,4.6885
2022,UYU,0.117
2022,UZS,0.00043
2022,VND,0.000197
2022,XAF,0.00752
2022,XOF,0.00752
2022,ZAR,0.288
2022,ZMW,0.28
2023,AED,1.245
2023,AFN,0.053
2023,ALL,0.043
2023,AMD,0.0118
2023,AOA,0.0055
2023,ARS,0.013
2023,AUD,3.01
2023,AZN,2.69
2023,BAM,2.53
2023,BDT,0.042
2023,BGN,2.529
2023,BHD,12.13
2023,BOB,0.661
2023,BRL,0.921
2023,BWP,0.352
2023,BYN,1.56
2023,CAD,3.398
2023,CHF,5.114
2023,CLP,0.0057
2023,CNY,0.637
2023,COP,0.00115
2023,CRC,0.0086
2023,CUP,0.0038
2023,CZK,0.2069
2023,DKK,0.6636
2023,DOP,0.0823
2023,DZD,0.0337
2023,EGP,0.148
2023,ETB,0.0083
2023,EUR,4.9467
2023,FJD,2.07
2023,GBP,5.677
2023,GEL,1.69
2023,GHS,0.396
2023,GTQ,0.583
2023,HKD,0.585
2023,HNL,0.185
2023,HRK,0.6565
2023,HUF,0.0131
2023,IDR,0.0003
2023,ILS,1.27
2023,INR,0.0553
2023,IQD,0.0035
2023,ISK,0.032
2023,JMD,0.0296
2023,JOD,6.45
2023,JPY,0.0326
2023,KES,0.033
2023,KHR,0.00112
2023,KRW,0.0035
2023,KWD,14.96
2023,KZT,0.0099
2023,LAK,0.00023
2023,LBP,0.0003
2023,LKR,0.0141
2023,LYD,3.32
2023,MAD,0.465
2023,MDL,0.259
2023,MKD,0.0805
2023,MMK,0.0022
2023,MNT,0.00133
2023,MUR,0.101
2023,MXN,0.263
2023,MYR,1.03
2023,MZN,0.072
2023,NGN,0.0059
2023,NOK,0.434
2023,NPR,0.0344
2023,NZD,2.828
2023,OMR,11.88
2023,PAB,4.5725
2023,PEN,1.21
2023,PGK,1.23
2023,PHP,0.084
2023,PKR,0.016
2023,PLN,1.105
2023,PYG,0.00063
2023,QAR,1.256
2023,RSD,0.0424
2023,RWF,0.0038
2023,SAR,1.219
2023,SEK,0.439
2023,SGD,3.416
2023,SOS,0.008
2023,THB,0.133
2023,TND,1.47
2023,TRY,0.194
2023,TTD,0.676
2023,TWD,0.147
2023,TZS,0.00183
2023,UAH,0.124
2023,UGX,0.00122
2023,USD,4.5725
2023,UYU,0.12
2023,UZS,0.000375
2023,VND,0.000189
2023,XAF,0.00754
2023,XOF,0.00754
2023,ZAR,0.249
2023,ZMW,0.233
2024,AED,1.246
2024,AFN,0.0665
2024,ALL,0.0435
2024,AMD,0.0119
2024,AOA,0.0055
2024,ARS,0.0052
2024,AUD,3.038
2024,AZN,2.69
2024,BAM,2.543
2024,BDT,0.038
2024,BGN,2.542
2024,BHD,12.14
2024,BOB,0.662
2024,BRL,0.896
2024,BWP,0.353
2024,BYN,1.43
2024,CAD,3.357
2024,CHF,5.148
2024,CLP,0.0051
2024,CNY,0.634
2024,COP,0.00115
2024,CRC,0.009
2024,CUP,0.0038
2024,CZK,0.198
2024,DKK,0.6668
2024,DOP,0.0775
2024,DZD,0.034
2024,EGP,0.095
2024,ETB,0.0079
2024,EUR,4.9735
2024,FJD,2.06
2024,GBP,5.802
2024,GEL,1.72
2024,GHS,0.298
2024,GTQ,0.592
2024,HKD,0.587
2024,HNL,0.185
2024,HRK,0.66
2024,HUF,0.0126
2024,IDR,0.0003
2024,ILS,1.24
2024,INR,0.0548
2024,IQD,0.0035
2024,ISK,0.033
2024,JMD,0.0296
2024,JOD,6.46
2024,JPY,0.03
2024,KES,0.0356
2024,KHR,0.00112
2024,KRW,0.0034
2024,KWD,14.96
2024,KZT,0.0092
2024,LAK,0.00021
2024,LBP,5e-05
2024,LKR,0.015
2024,LYD,3.34
2024,MAD,0.464
2024,MDL,0.258
2024,MKD,0.0808
2024,MMK,0.0022
2024,MNT,0.00134
2024,MUR,0.099
2024,MXN,0.264
2024,MYR,1.01
2024,MZN,0.072
2024,NGN,0.0031
2024,NOK,0.429
2024,NPR,0.0341
2024,NZD,2.763
2024,OMR,11.9
2024,PAB,4.578
2024,PEN,1.22
2024,PGK,1.21
2024,PHP,0.082
2024,PKR,0.0165
2024,PLN,1.155
2024,PYG,0.00062
2024,QAR,1.258
2024,RSD,0.0425
2024,RWF,0.0035
2024,SAR,1.22
2024,SEK,0.434
2024,SGD,3.438
2024,SOS,0.008
2024,THB,0.131
